FID,SampleID,Species,Latitude,Longitude,dem3s_int,ADBed,Pclay,pH,Psand,Psilt,SOC,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,HLI,CTI
140,J298,Eucalyptus sideroxylon,-30.15277,151.07437,679,2785,34,65,52,14,54,15.3374996,13.8583002,48.4556999,539.9879761,28.8999996,0.3,28.6000004,20.6000004,12.1667004,21.7166996,8.3166704,803,113,37,36.3298988,300,129,300,138,0.895795,10.4561996
141,J300,Eucalyptus sideroxylon,-29.80812,150.91918,670,3027,37,66,50,13,55,15.6457996,13.6583004,48.092701,542.0650024,29.2000008,0.8,28.3999996,22.0667,12.5667,22.0667,8.6166697,828,110,40,33.5803986,306,140,306,144,0.891552,10.3563004
142,J342,Eucalyptus sideroxylon,-29.39087,151.39279,729,3074,29,65,55,16,53,15.6125002,12.875,47.509201,522.2119751,28.6000004,1.5,27.1000004,20.7000008,12.6999998,21.7332993,8.78333,814,111,39,34.3502998,299,137,298,139,0.893235,10.8731003
143,J405,Eucalyptus sideroxylon,-30.22862,151.23865,741,2497,33,65,48,19,55,15.0667,12.6499996,47.026001,521.3629761,27.7000008,0.8,26.8999996,20.1333008,12.0667,21.25,8.28333,782,106,33,37.3930016,297,118,292,131,0.899145,10.6610003
144,J430h,Eucalyptus sideroxylon,-28.56925,151.07571,293,2642,26,63,63,11,56,18.4916992,12.9666996,47.4968987,523.6359863,31.6000004,4.3000002,27.2999992,24.5333004,11.5667,24.5333004,11.5667,673,87,30,35.5382004,252,105,252,105,0.893659,11.8184996
145,NSW0356,Eucalyptus sideroxylon,-29.85969194,150.8983499,701,3128,37,64,49,14,59,15.4624996,12.5916996,46.2929001,539.2470093,28.3999996,1.2,27.2000008,21.8500004,12.4333,21.8500004,8.5,837,112,42,32.9672012,307,142,307,151,0.902981,10.4834003
146,NSW0357,Eucalyptus sideroxylon,-29.84141068,150.8883544,699,2727,31,66,54,15,50,15.5042,13.1583004,47.3320999,539.4920044,28.7999992,1,27.7999992,21.9167004,12.4833002,21.9167004,8.53333,836,111,42,32.7636986,307,143,307,149,0.89295,11.0137997
147,NSW0358,Eucalyptus sideroxylon,-29.81534866,150.9138883,684,3154,35,64,54,12,60,15.5749998,13.5,47.7032013,541.6160278,29.1000004,0.8,28.2999992,21.9832993,12.5166998,21.9832993,8.5500002,830,110,41,33.1004982,305,142,305,146,0.901761,9.7459602
148,NSW0359,Eucalyptus sideroxylon,-29.80145079,150.9211789,660,2530,35,65,53,12,52,15.6457996,13.6583004,48.092701,542.0650024,29.2000008,0.8,28.3999996,22.0667,12.5667,22.0667,8.6166697,828,110,40,33.5803986,306,140,306,144,0.890655,12.9636002
149,NSW0361,Eucalyptus sideroxylon,-29.98876344,151.1105486,825,3633,34,64,52,14,60,14.6167002,12.8167,47.6455994,520.0540161,27.2999992,0.4,26.8999996,20.7667007,11.6833,20.7667007,7.8499999,874,122,44,33.5896988,319,147,319,159,0.891779,10.4771004
150,NSW0364,Eucalyptus sideroxylon,-30.14525173,151.0761101,688,2716,36,65,48,16,66,15.3332996,13.8667002,48.4847984,539.4459839,28.8999996,0.3,28.6000004,20.6000004,12.1667004,21.7000008,8.3166704,805,113,37,36.2843018,301,130,301,138,0.904115,10.3856001
