FID,SampleID,Species,Latitude,Longitude,dem3s_int,ADBed,Pclay,pH,Psand,Psilt,SOC,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,HLI,CTI
178,NSW0207,Eucalyptus melliodora,-32.87453963,148.1952447,302,5382,35,70,49,16,41,17.2416992,12.5333004,43.9766006,583.375,30.6000004,2.0999999,28.5,22.8500004,10.0500002,24.4666996,10.0500002,586,65,34,14.5418997,164,127,163,127,0.896537,10.3596001
179,NSW0213,Eucalyptus melliodora,-33.00604667,148.1591849,352,3332,35,65,50,15,43,16.875,12.4167004,42.9641991,588.3079834,30.5,1.6,28.8999996,22.5,13.7166996,24.2000008,9.6499996,595,68,35,15.4624004,167,132,166,132,0.895486,10.1414003
180,NSW0279,Eucalyptus melliodora,-33.47450646,148.7558038,397,2582,33,65,49,18,56,15.7666998,12.0333004,42.8232002,564.9229736,29,0.9,28.1000004,21.1166992,20.0499992,22.7999992,8.8666697,680,78,44,16.2896996,190,145,187,168,0.894289,10.7321997
181,NSW0287,Eucalyptus melliodora,-33.38362559,148.105996,241,7785,37,69,40,23,44,16.9542007,12.5583,44.0643005,590.3099976,30.2000008,1.7,28.5,22.5499992,13.6000004,24.25,9.6999998,541,57,34,13.1005001,148,122,147,124,0.893767,11.4719
182,NSW0293,Eucalyptus melliodora,-33.8361601,148.6472566,294,4506,31,67,51,18,42,15.9624996,13.3249998,45.6335983,582.7680054,29.7000008,0.5,29.2000008,21.4832993,20.3332996,23.2166996,8.8333302,630,68,41,15.8303003,176,129,165,155,0.890697,11.3604002
183,NSW0297,Eucalyptus melliodora,-33.9340008,148.3936114,446,3243,34,62,49,17,44,15.1708002,12.0583,42.9122009,575.6079712,28.2999992,0.2,28.1000004,8.9333296,19.5832996,22.3500004,8.1999998,671,66,39,16.7763004,195,131,162,178,0.892872,11.7526999
184,NSW0431,Eucalyptus melliodora,-33.56762814,149.7169738,746,2630,32,65,47,21,61,13.1625004,12.4417,46.2514992,518.7230225,25.7999992,-1.1,26.8999996,19.6166992,10.0832996,19.6166992,6.6999998,716,89,42,19.5203991,217,139,217,157,0.891325,11.3466997
185,NSW0437,Eucalyptus melliodora,-33.64004829,149.1013271,688,2444,28,63,51,22,69,13.4624996,12.2417002,44.841301,539.4489746,26.2000008,-1.1,27.2999992,7.6999998,17.4333,20.1667004,6.78333,849,89,50,17.8892002,249,166,219,235,0.894926,12.2986002
186,NSW0438,Eucalyptus melliodora,-33.64965747,149.0052041,660,2489,30,65,51,18,58,13.8207998,12.5082998,45.3199997,546.8270264,26.7000008,-0.9,27.6000004,7.9499998,14.3832998,20.6667004,7.1166701,833,88,50,17.5132008,242,163,216,227,0.884757,10.0552998
187,CCA0704,Eucalyptus melliodora,-32.71222222,149.9661111,660,1969,30,65,51,19,51,14.3042002,12.4917002,45.757,526.2280273,27.2000008,-0.1,27.2999992,20.8167,11.1000004,20.8167,7.7333298,734,90,40,20.4489994,227,145,227,150,0.894787,11.2488003
188,LBM03C03,Eucalyptus melliodora,-32.389167,150.881667,182,1593,28,63,53,19,64,17.5583,12.7333002,48.0503006,487.3859863,30.1000004,3.5999999,26.5,23.4666996,11.3500004,23.4666996,11.3500004,675,93,34,29.7374992,233,114,233,114,0.907036,10.3950005
189,NSW0002,Eucalyptus melliodora,-33.79039172,150.22171,649,853,27,57,56,17,85,13.8083,9.6833296,42.2853012,463.1260071,24.5,1.6,22.8999996,19,8.9166698,19.4500008,7.9166698,912,124,45,31.0060997,334,157,313,161,0.889804,9.5331001
190,NSW0003,Eucalyptus melliodora,-33.74848883,150.2361709,637,768,24,56,57,18,76,13.8125,10.0082998,42.4081993,466.0820007,24.7999992,1.2,23.6000004,19,8.8833303,19.4500008,7.8499999,935,128,45,31.6650009,345,162,322,163,0.90211,8.7062302
191,NSW0004,Eucalyptus melliodora,-33.58679077,150.2058728,776,1039,29,59,51,20,73,13.1416998,10.7333002,43.4547997,475.7860107,24.6000004,-0.1,24.7000008,18.4832993,7.0833302,18.9500008,7.0833302,996,129,54,26.8271999,351,187,325,187,0.915714,12.1992998
192,NSW0005,Eucalyptus melliodora,-33.1236643,150.0056215,713,1537,28,59,53,19,66,13.5958004,10.8416996,43.0224991,497.7839966,25.5,0.3,25.2000008,19.2166996,10.5500002,19.7332993,7.3499999,739,89,40,21.3122997,231,143,229,146,0.907548,12.3023005
193,NSW0006,Eucalyptus melliodora,-33.11997442,150.034491,691,574,23,58,56,21,79,13.6792002,10.1083002,41.4276009,492.9060059,25.2000008,0.8,24.3999996,19.25,10.6999998,19.75,7.4833298,743,90,41,21.6072006,235,144,231,147,0.906307,9.30126
194,NSW0007,Eucalyptus melliodora,-33.13831503,150.109859,392,1774,28,64,52,20,59,15.3000002,11.5,44.2308006,510.4899902,27.5,1.5,26,21.0667,8.8666697,21.6000004,8.8666697,669,87,32,26.1700993,221,118,216,118,0.910223,11.6335001
195,NSW0008,Eucalyptus melliodora,-33.10924617,150.1912611,316,2440,33,66,49,18,51,15.8708,11.7250004,44.5816994,513.0499878,28.2000008,1.9,26.2999992,21.5499992,9.3500004,22.1333008,9.3500004,651,86,27,27.4290009,215,113,210,113,0.903696,11.3485003
196,NSW0009,Eucalyptus melliodora,-33.07784647,150.2113412,292,2081,34,67,47,20,53,16.1875,12.2082996,44.7192001,524.7210083,29,1.7,27.2999992,21.8833008,9.5,22.5499992,9.5,649,86,27,27.6676006,215,113,210,113,0.893659,17.5743008
197,NSW0010,Eucalyptus melliodora,-33.07240946,150.2132123,305,2099,32,67,48,19,53,16.0750008,12.0667,44.5264015,523.5739746,28.7999992,1.7,27.1000004,21.7833004,9.4166698,22.4333,9.4166698,653,86,27,27.5550003,216,114,210,114,0.894982,11.0951004
