,MAT,TDiurnRng,Isotherm,TSeas,TMaxWrmM,TMinCM,TAnnRng,AveTWetQtr,AveTDQtr,AveTWrmQtr,AveTCQtr,MAP,PWetM,PDryM,PSeas,PWetQtr,PDryQtr,PWrmQtr,PColdQtr
56_MIBC,71,170,40,8225,288,-128,416,171,109,177,-35,422,49,22,23,143,86,120,87
60_MIBC,71,170,40,8225,288,-128,416,171,109,177,-35,422,49,22,23,143,86,120,87
67_MIPP,95,167,38,8885,321,-110,431,161,-20,210,-20,315,36,14,26,106,61,83,61
70_MIPP,97,168,38,8909,324,-109,433,164,-19,212,-19,307,36,14,26,104,59,81,59
72_MIPP,97,168,38,8909,324,-109,433,164,-19,212,-19,307,36,14,26,104,59,81,59
88_MI1,109,169,38,9219,340,-103,443,177,155,228,-12,294,36,12,26,98,58,73,59
92_MI1,109,169,38,9219,340,-103,443,177,155,228,-12,294,36,12,26,98,58,73,59
100_MI1,105,167,37,9141,335,-105,440,173,151,223,-14,303,36,12,25,100,60,75,61
6_MI2,104,167,38,9078,332,-105,437,171,148,221,-15,308,37,13,25,102,61,78,62
23_MI2,109,169,38,9185,340,-103,443,176,154,227,-12,294,36,12,26,98,58,73,59
26_MI2,109,169,38,9185,340,-103,443,176,154,227,-12,294,36,12,26,98,58,73,59
33_MI3,105,169,38,9094,334,-105,439,172,149,222,-14,300,36,12,26,100,59,75,60
38_MI3,105,169,38,9094,334,-105,439,172,149,222,-14,300,36,12,26,100,59,75,60
42_MI3,105,169,38,9094,334,-105,439,172,149,222,-14,300,36,12,26,100,59,75,60
46_MI4,104,170,38,9097,334,-106,440,172,149,222,-15,297,36,12,27,100,58,75,59
59_MI4,104,170,38,9075,333,-106,439,171,149,221,-15,297,36,12,27,100,58,75,59
63_MI4,104,170,38,9097,334,-106,440,172,149,222,-15,297,36,12,27,100,58,75,59
76_MIPP,89,167,39,8705,312,-114,426,194,-24,201,-24,332,39,16,26,112,64,91,64
80_MIPP,75,164,39,8395,293,-122,415,177,-33,184,-33,383,44,19,25,129,76,106,76
81_MIPP,93,168,39,8778,317,-112,429,158,-21,206,-21,318,37,15,26,108,61,86,61
89_MISP,72,169,40,8274,290,-126,416,173,-34,180,-34,404,47,21,25,138,81,115,81
94_MISP,72,169,40,8274,290,-126,416,173,-34,180,-34,404,47,21,25,138,81,115,81
98_MISP,73,170,40,8293,291,-126,417,174,112,181,-34,402,47,21,25,137,81,115,81
COAR3,74,179,44,7824,285,-120,405,168,-25,176,-25,271,47,9,50,117,32,113,32
COAR6,76,180,44,7830,288,-118,406,170,-24,178,-24,267,46,9,49,115,32,110,32
COAR7,73,180,44,7803,285,-120,405,167,-26,175,-26,266,46,9,49,115,32,110,32
COAR8,73,180,44,7803,285,-120,405,167,-26,175,-26,266,46,9,49,115,32,110,32
COAR9,73,180,44,7803,285,-120,405,167,-26,175,-26,266,46,9,49,115,32,110,32
COAR12,61,178,43,7926,275,-133,408,157,-39,165,-39,275,48,10,50,120,35,114,35
COAR13,61,178,43,7926,275,-133,408,157,-39,165,-39,275,48,10,50,120,35,114,35
COAR15,61,178,43,7926,275,-133,408,157,-39,165,-39,275,48,10,50,120,35,114,35
COAR18,57,178,43,7955,272,-136,408,153,-43,161,-43,276,49,9,50,122,33,117,33
COAR19,57,178,43,7955,272,-136,408,153,-43,161,-43,276,49,9,50,122,33,117,33
COAR20,57,178,43,7955,272,-136,408,153,-43,161,-43,276,49,9,50,122,33,117,33
COBT9,58,152,42,7227,257,-100,357,131,-29,155,-29,399,58,12,47,162,41,152,41
COBT10,58,152,42,7227,257,-100,357,131,-29,155,-29,399,58,12,47,162,41,152,41
COBT11,58,152,42,7227,257,-100,357,131,-29,155,-29,399,58,12,47,162,41,152,41
COBT12,58,152,42,7227,257,-100,357,131,-29,155,-29,399,58,12,47,162,41,152,41
COBT13,66,154,41,7439,268,-99,367,142,-24,166,-24,392,60,12,48,161,39,146,39
SV9,56,157,43,7275,256,-109,365,129,-32,153,-32,424,58,15,42,162,50,154,50
SV10,56,157,43,7275,256,-109,365,129,-32,153,-32,424,58,15,42,162,50,154,50
